trues,TDIformer,iTransformer,TimesNet,Informer
0.32687026,0.008744015,0.13456331,-0.058229417,-0.37441134
0.29822767,0.13123156,0.22643648,0.031550273,-0.3522679
0.2411459,0.18287697,0.26369247,0.0857883,-0.32491443
0.25536567,0.23341683,0.29055724,0.191862,-0.2972569
0.2411459,0.24323535,0.32288176,0.25446063,-0.2857911
0.2697885,0.2960834,0.3505385,0.14296311,-0.2639804
0.32687026,0.2742228,0.37233913,0.35477847,-0.24716192
0.38395184,0.3550651,0.41727638,0.33664182,-0.21718252
0.42701706,0.4055407,0.44990125,0.42552817,-0.19627629
0.34108984,0.4964149,0.5080012,0.45791775,-0.17534658
0.31265047,0.4873125,0.48828644,0.4266473,-0.1578399
0.25536567,0.4476118,0.47721514,0.4800179,-0.13504855
0.34108984,0.45942414,0.45916778,0.39724916,-0.10891318
0.2411459,0.43598372,0.45735615,0.4432382,-0.083200246
0.2840081,0.48382807,0.4378857,0.5121549,-0.059863288
0.36973226,0.463214,0.44378653,0.44837913,-0.03345417
0.35551268,0.4036413,0.43895552,0.45361078,-0.02271064
0.34108984,0.46765795,0.46218282,0.40309784,0.0015318878
0.35551268,0.48214656,0.44308978,0.3383682,0.01499502
0.41259444,0.49276263,0.470054,0.3397603,0.020826232
0.4983186,0.5067767,0.48073086,0.2615138,0.030930918
0.569823,0.5203018,0.52300894,0.42491674,0.04458463
0.6126852,0.529806,0.53339756,0.62134826,0.06896107
0.6555472,0.6136377,0.573508,0.67020285,0.087824166
0.74127156,0.69993436,0.62638026,0.5756979,0.07478762
0.74127156,0.7700377,0.63807404,0.7019032,0.096885964
0.7556942,0.86913306,0.6577014,0.7152685,0.1104705
0.769914,0.852749,0.66588694,0.72367316,0.062120084
0.81277597,0.8571733,0.6721691,0.71342915,0.06319274
0.85563815,0.8508639,0.6661578,0.7197064,0.06228713
0.85563815,0.8407452,0.6611769,0.7189256,0.06619663
0.97000474,0.7948266,0.67284226,0.7634367,0.06259724
0.97000474,0.7946455,0.6882833,0.7578776,0.11890137
0.97000474,0.830799,0.7027418,0.7935587,0.116080105
1.012867,0.84136295,0.7260276,0.8348187,0.11232531
1.012867,0.85288286,0.7373954,0.7638948,0.11208579
1.0413061,0.88704044,0.7513119,0.7910912,0.109837905
0.9842243,0.86030763,0.751716,0.7870209,0.12154764
0.92714274,0.8150297,0.7545553,0.77527225,0.12735257
0.9413623,0.8016419,0.7821801,0.71961856,0.13481273
0.8698577,0.7706167,0.84895766,0.7572582,0.13661923
0.7556942,0.79017603,0.834756,0.7641961,0.13549477
0.71262896,0.7214828,0.8003683,0.65014756,0.13313907
0.5984656,0.6745551,0.6971091,0.6237226,0.1257749
0.526961,0.5995483,0.62073886,0.5147276,0.12490612
0.55560344,0.49786952,0.5165093,0.44970745,0.124648795
0.48409885,0.49002194,0.43584877,0.522739,0.116044134
0.46987924,0.479742,0.3653579,0.40577215,0.1084723
0.4983186,0.4699858,0.33005628,0.42986166,0.11060858
0.4983186,0.43407878,0.2704438,0.37818208,0.11210464
0.45545644,0.40736276,0.29098153,0.3306254,0.11405198
0.42701706,0.40961874,0.2571173,0.34666947,0.12062144
0.36973226,0.43317467,0.27036846,0.33880886,0.13251151
0.36973226,0.42790127,0.26132378,0.26906547,0.13506468
0.35551268,0.40058595,0.2773453,0.26735675,0.13378884
0.29822767,0.3826678,0.27881706,0.28172094,0.17248222
0.29822767,0.38467222,0.28412092,0.22522627,0.14491218
0.31265047,0.3737431,0.2710221,0.25898135,0.13749593
0.31265047,0.38201764,0.2653672,0.09538868,0.119405225
0.29822767,0.45787072,0.26195186,0.16636921,0.10663636
0.2840081,0.43402365,0.24818456,0.15344505,0.093346626
0.25536567,0.41726232,0.23498723,0.21763635,0.06355752
0.2411459,0.37369844,0.21568953,0.19874425,0.06739519
0.2125035,0.3587543,0.2127612,0.18587042,0.05927089
0.19828391,0.2958415,0.19563146,0.26067257,-0.013574872
0.15542172,0.20709981,0.19976555,0.20825733,0.044948623
0.18406431,0.1382242,0.18067181,0.24601007,0.042638317
0.18406431,0.11058034,0.17470199,0.23204729,0.027021095
0.18406431,0.10088158,0.19027321,0.14168182,0.010150138
0.1696415,0.09752864,0.19243261,0.22527252,-0.00032224134
0.18406431,0.10046615,0.2057291,0.21369596,-0.059266414
0.18406431,0.09658188,0.20758544,0.27870652,-0.016709935
0.1696415,0.12865639,0.22308846,0.26370108,-0.03510915
0.18406431,0.11191489,0.21988316,0.22463265,-0.08965367
0.2411459,0.123382606,0.23469898,0.2738076,-0.10095383
0.2125035,0.16783434,0.25497648,0.19256374,-0.114922374
0.14120212,0.17714475,0.27264628,0.24817178,-0.116707444
0.14120212,0.16485868,0.2758012,0.14935404,-0.13035922
0.1696415,0.12620915,0.26892218,0.15844545,-0.14469971
0.12677932,0.113074966,0.26703417,0.19362497,-0.16638081
0.09834013,0.17933108,0.2785337,0.13898459,-0.1889287
0.026835546,0.17008474,0.26624575,0.14831409,-0.19708857
0.11255973,0.1328036,0.25047952,0.18498641,-0.20540781
0.026835546,0.10289622,0.24121639,0.1181066,-0.21006519
0.09834013,0.088686734,0.21321441,0.13135028,-0.21264821
0.055477947,0.058647044,0.20848863,0.1521732,-0.22140491
0.06969763,0.10802734,0.22195137,0.19442642,-0.22605178
-0.0018069521,0.098663226,0.23739925,0.24896215,-0.2241256
-0.0018069521,0.10748896,0.24713704,0.24399382,-0.22879177
-0.01602664,0.061552487,0.23181365,0.22901423,-0.22774696
0.041055135,0.044086277,0.2171141,0.19968179,-0.23325431
0.041055135,0.034022346,0.19973196,0.21835335,-0.24673393
0.11255973,0.08350127,0.21608388,0.2229552,-0.24234149
0.15542172,0.048644103,0.22031303,0.18327686,-0.23715547
0.19828391,0.0869652,0.2524302,0.27694187,-0.217621
0.31265047,0.10678586,0.26917952,0.2449297,-0.2056307
0.31265047,0.17740211,0.3080182,0.27013093,-0.192633
0.18406431,0.1709838,0.32887566,0.29219067,-0.17609124
0.19828391,0.25901234,0.34306645,0.23423056,-0.16233951
0.2411459,0.21792811,0.32597104,0.2680417,-0.14800648
0.35551268,0.20247486,0.33911484,0.25956368,-0.14104727
0.41259444,0.28220296,0.37200445,0.26522404,-0.11764175
0.45545644,0.36651245,0.456819,0.34159523,-0.09955318
0.4983186,0.4428643,0.50523174,0.38329777,-0.08317013
0.48409885,0.49053717,0.5548881,0.44216275,-0.0679948
0.51274145,0.5034794,0.5397911,0.484807,-0.055920336
0.55560344,0.5383493,0.557289,0.39381355,-0.045679916
0.46987924,0.64039975,0.56054217,0.58926183,-0.024236564
0.45545644,0.66136265,0.5705704,0.60632515,-0.013305426
0.44123685,0.6264602,0.5657923,0.59617364,0.014782082
0.51274145,0.6412112,0.55188113,0.71175706,0.033063743
0.569823,0.66046137,0.5914752,0.74772686,0.0378957
0.55560344,0.6809376,0.62038195,0.74021435,0.04063192
0.6126852,0.7169417,0.6516363,0.61844045,0.048580866
