trues,TDIformer,iTransformer,TimesNet,Informer
1.6087211,1.3177172,1.28968,1.279558,0.8092314
1.8089654,1.4561383,1.422127,1.4180933,0.935956
1.7675893,1.4893105,1.4788339,1.4015213,1.0063941
1.7298942,1.4568346,1.4677917,1.3474622,1.1045555
1.6661099,1.5663806,1.5692505,1.3356813,1.1641108
1.7158704,1.6276003,1.6031458,1.3219204,1.2324306
0.9457341,1.6200972,1.6051706,1.4500301,1.2663842
1.746274,1.570175,1.5620627,1.4413761,1.2955856
1.5937926,1.4096241,1.4786595,1.3752774,1.410838
1.4360827,1.4177343,1.446967,1.4641848,1.4254274
1.126346,1.3295821,1.3946724,1.5734355,1.4375309
0.9588616,1.34269,1.4138561,1.6310585,1.4360417
1.3224418,1.3298137,1.4341398,1.6570148,1.4244971
1.4973271,1.4237041,1.4762224,1.6348163,1.4236444
1.5875763,1.4457939,1.4817069,1.7680051,1.4222375
1.7651982,1.5791059,1.6325731,1.8179247,1.4206222
1.7791563,1.620491,1.69819,1.7512364,1.4191024
1.8349451,1.8008504,1.8279886,1.6792443,1.4121566
1.7483243,1.7508196,1.752719,1.5705159,1.4055291
1.7296537,1.8532331,1.8759146,1.5723133,1.4581648
1.7106596,1.8840592,1.9012673,1.4805629,1.3883404
1.6146314,1.9603472,1.9071491,1.7783868,1.3506187
1.4126254,1.8478487,1.7959254,1.9314613,1.3273193
1.6949179,1.7777985,1.7029929,1.843456,1.3050224
1.5876025,1.5738573,1.5856081,1.8540895,1.2896991
1.5217462,1.6039654,1.6008933,1.8066282,1.264204
1.3981208,1.472951,1.4920025,1.7440454,1.2488835
1.3574136,1.4971262,1.5069165,1.8139855,1.2330247
1.425425,1.459654,1.4463235,1.728055,1.1332031
1.3071417,1.2512335,1.261716,1.5656233,1.0129908
1.2258672,1.1170279,1.1263584,1.4930325,0.9303722
1.0756631,1.2973727,1.2619346,1.4322784,0.8888023
0.8495965,1.1389107,1.1803997,1.3712405,0.9210033
0.5892619,1.0205492,1.0311445,1.3438276,0.97274226
0.7209483,0.6728393,0.7321577,1.348656,0.97409517
0.6591269,0.9263296,0.88694197,1.3939168,0.8717395
0.63980055,0.78271645,0.73649144,1.37943,0.78020173
0.43592796,0.723925,0.66200805,1.3751729,0.7271856
0.32783878,0.36625844,0.3504945,1.3609201,0.719129
0.5124332,0.58297974,0.55711526,1.3436233,0.71746075
0.4479189,0.5850457,0.5034641,1.2830073,0.61403614
0.49767944,0.50341666,0.47881866,1.252933,0.71027434
0.47294563,0.3411551,0.37377942,1.2975805,0.58487785
0.4852994,0.730499,0.69430065,1.1479392,0.55553836
0.47272703,0.6644039,0.6440944,1.1137873,0.5809855
0.6525871,0.5893574,0.6044612,1.2171767,0.58038694
0.68182796,0.52289367,0.5564602,1.2041622,0.5877039
0.6031632,0.83545864,0.84224284,1.180311,0.58660996
1.0951905,0.98552847,0.961486,1.1278137,0.618069
1.0753397,1.1057329,1.0957212,1.1255977,0.64868706
1.0965981,1.0944005,1.1274983,1.229862,0.71359557
2.2760885,1.2665365,1.3103601,1.2861336,0.7597805
2.2485611,1.4628909,1.4784547,1.2557535,0.8203458
2.3380935,1.669593,1.6627818,1.3203156,0.89375067
2.2940378,1.7566571,1.7555015,1.2596363,0.98602575
2.2728012,1.8647416,1.8413433,1.2797297,1.14874
2.3555925,1.9743234,1.9480349,1.2932173,1.2384251
2.5007737,2.0423644,1.977721,1.2675371,1.2978182
1.6003541,2.0043426,1.9809146,1.5093733,1.4066154
2.5141504,1.9995697,1.9946374,1.6145278,1.4282842
2.264246,1.8550601,1.8944969,1.5379009,1.4501535
2.1947396,1.826517,1.8193754,1.6059499,1.4644222
2.1059768,1.7598625,1.8178506,1.7450354,1.4765822
1.512859,1.8547133,1.9115329,1.822489,1.476113
