date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),Tlog (degC),OT
2020-04-14 04:10:00,993.92,1.37,275.01,-3.27,71.1,6.75,4.8,1.95,3.01,4.83,1258.92,1.83,3.65,255.6,12.58,421.7
2020-04-14 04:20:00,993.97,1.35,274.99,-3.43,70.3,6.74,4.74,2.0,2.97,4.77,1259.09,1.67,2.76,256.0,12.51,422.1
2020-04-14 04:30:00,994.07,1.35,274.98,-3.53,69.8,6.74,4.7,2.03,2.95,4.73,1259.25,0.91,2.08,268.9,12.43,422.5
2020-04-14 04:40:00,994.2,1.45,275.07,-3.41,69.93,6.79,4.75,2.04,2.97,4.77,1258.91,1.51,3.85,321.6,12.37,422.7
2020-04-14 04:50:00,994.28,1.59,275.2,-2.93,71.8,6.85,4.92,1.93,3.08,4.95,1258.33,1.36,4.17,242.5,12.32,422.3
2020-04-14 05:00:00,994.32,1.3,274.91,-2.48,75.8,6.71,5.09,1.62,3.19,5.12,1259.61,2.5,4.41,263.7,12.27,422.3
2020-04-14 05:10:00,994.36,0.8,274.4,-2.26,79.9,6.47,5.17,1.3,3.24,5.2,1261.91,1.81,3.65,257.6,12.23,421.6
2020-04-14 05:20:00,994.45,0.57,274.17,-2.36,80.6,6.37,5.13,1.24,3.22,5.16,1263.1,1.33,2.68,256.0,12.16,421.4
2020-04-14 05:30:00,994.56,0.47,274.06,-2.49,80.4,6.32,5.08,1.24,3.18,5.11,1263.72,1.48,2.72,257.5,12.06,421.6
2020-04-14 05:40:00,994.61,0.48,274.07,-2.67,79.3,6.33,5.02,1.31,3.14,5.04,1263.77,1.17,2.48,256.6,11.96,422.0
2020-04-14 05:50:00,994.78,0.47,274.04,-2.72,79.1,6.32,5.0,1.32,3.13,5.02,1264.07,1.22,2.36,256.9,11.84,422.3
2020-04-14 06:00:00,994.96,0.52,274.07,-2.75,78.6,6.34,4.98,1.36,3.12,5.01,1264.07,1.2,1.92,257.5,11.74,422.3
2020-04-14 06:10:00,995.15,0.57,274.11,-2.75,78.3,6.37,4.99,1.38,3.12,5.01,1264.07,1.42,2.04,257.3,11.65,422.7
2020-04-14 06:20:00,995.34,0.61,274.14,-2.71,78.3,6.38,5.0,1.39,3.13,5.02,1264.12,1.48,2.28,254.1,11.59,422.8
2020-04-14 06:30:00,995.47,0.69,274.21,-2.69,78.0,6.42,5.01,1.41,3.14,5.03,1263.91,1.56,2.2,247.6,11.56,423.2
2020-04-14 06:40:00,995.62,1.15,274.66,-2.46,76.7,6.64,5.09,1.55,3.19,5.12,1261.93,1.62,2.32,243.1,11.54,423.4
2020-04-14 06:50:00,995.67,1.8,275.3,-2.3,74.1,6.96,5.16,1.8,3.23,5.18,1258.99,1.35,3.33,253.6,11.56,423.8
2020-04-14 07:00:00,995.8,2.36,275.85,-2.17,71.9,7.24,5.21,2.03,3.26,5.23,1256.59,0.95,2.3,251.0,11.65,423.8
2020-04-14 07:10:00,995.96,2.87,276.35,-2.16,69.35,7.51,5.21,2.3,3.26,5.23,1254.45,1.05,2.62,275.2,11.85,423.7
2020-04-14 07:20:00,995.99,3.19,276.66,-2.2,67.62,7.68,5.19,2.49,3.25,5.22,1253.06,0.9,2.52,290.3,12.16,423.2
2020-04-14 07:30:00,996.09,3.71,277.18,-2.3,64.68,7.97,5.16,2.82,3.23,5.18,1250.83,1.2,3.45,332.9,12.54,422.6
2020-04-14 07:40:00,996.16,3.93,277.4,-2.46,62.93,8.1,5.1,3.0,3.19,5.12,1249.95,1.07,2.4,20.74,12.99,421.9
2020-04-14 07:50:00,996.17,3.92,277.38,-2.57,62.46,8.09,5.05,3.04,3.16,5.07,1250.04,1.39,2.84,18.92,13.49,421.3
2020-04-14 08:00:00,996.13,4.26,277.73,-2.45,61.51,8.29,5.1,3.19,3.19,5.12,1248.43,1.54,3.1,235.1,14.01,421.0
2020-04-14 08:10:00,996.24,3.93,277.39,-2.69,61.85,8.1,5.01,3.09,3.13,5.03,1250.09,1.79,4.61,1.53,14.56,420.7
2020-04-14 08:20:00,996.28,3.38,276.83,-2.93,63.17,7.79,4.92,2.87,3.08,4.94,1252.69,1.69,3.45,343.2,15.08,420.5
2020-04-14 08:30:00,996.35,3.16,276.61,-3.19,62.93,7.67,4.82,2.84,3.02,4.84,1253.82,1.57,4.09,286.7,15.49,420.3
2020-04-14 08:40:00,996.42,3.2,276.64,-3.08,63.28,7.69,4.86,2.82,3.04,4.88,1253.73,1.09,2.88,14.36,15.75,420.1
2020-04-14 08:50:00,996.54,3.36,276.8,-3.2,61.96,7.78,4.82,2.96,3.01,4.84,1253.15,2.37,4.19,30.5,15.88,419.8
2020-04-14 09:00:00,996.68,3.35,276.77,-3.05,62.77,7.77,4.88,2.89,3.05,4.89,1253.36,2.18,4.53,302.0,15.95,419.8
2020-04-14 09:10:00,996.81,3.88,277.3,-2.96,60.84,8.07,4.91,3.16,3.07,4.93,1251.09,1.66,4.01,308.3,15.97,419.4
2020-04-14 09:20:00,996.85,4.29,277.7,-3.04,58.75,8.3,4.88,3.43,3.05,4.89,1249.32,2.14,5.73,287.2,16.03,419.2
2020-04-14 09:30:00,996.9,4.11,277.51,-3.51,57.44,8.2,4.71,3.49,2.94,4.72,1250.28,1.84,3.87,28.84,16.19,419.1
2020-04-14 09:40:00,996.93,4.04,277.45,-4.0,55.6,8.16,4.54,3.62,2.84,4.55,1250.68,2.91,5.81,28.22,16.39,418.8
2020-04-14 09:50:00,997.02,3.91,277.31,-4.12,55.62,8.09,4.5,3.59,2.81,4.51,1251.41,2.86,4.53,18.45,16.55,418.4
2020-04-14 10:00:00,997.04,4.18,277.58,-4.34,53.7,8.24,4.43,3.82,2.77,4.44,1250.26,2.9,5.29,23.34,16.61,418.2
2020-04-14 10:10:00,997.11,4.25,277.64,-4.46,52.94,8.28,4.38,3.9,2.74,4.4,1250.06,2.86,6.69,22.2,16.59,418.3
2020-04-14 10:20:00,997.13,4.18,277.56,-4.44,53.29,8.24,4.39,3.85,2.74,4.4,1250.41,1.27,2.96,19.31,16.57,418.3
2020-04-14 10:30:00,997.1,4.66,278.05,-4.35,51.89,8.52,4.42,4.1,2.76,4.43,1248.2,1.45,3.67,23.7,16.55,417.9
2020-04-14 10:40:00,997.15,4.91,278.29,-4.5,50.41,8.67,4.37,4.3,2.73,4.38,1247.16,2.86,4.33,12.98,16.59,417.7
2020-04-14 10:50:00,997.39,4.89,278.26,-4.55,50.27,8.66,4.35,4.31,2.72,4.37,1247.54,1.36,3.24,352.5,16.74,417.8
2020-04-14 11:00:00,997.48,4.52,277.88,-4.79,50.65,8.44,4.27,4.16,2.67,4.28,1249.36,1.81,3.24,273.5,16.93,417.8
2020-04-14 11:10:00,997.42,5.26,278.63,-4.63,48.7,8.89,4.33,4.56,2.7,4.34,1245.93,1.68,2.76,275.7,16.99,417.6
2020-04-14 11:20:00,997.44,5.39,278.76,-4.65,48.17,8.97,4.32,4.65,2.7,4.33,1245.37,1.55,3.51,324.9,17.11,417.5
2020-04-14 11:30:00,997.47,4.96,278.33,-5.31,47.21,8.71,4.11,4.6,2.57,4.12,1247.43,2.62,4.29,26.32,17.3,417.8
2020-04-14 11:40:00,997.42,5.15,278.52,-5.75,45.05,8.82,3.97,4.85,2.48,3.98,1246.58,1.91,4.45,47.86,17.45,417.8
2020-04-14 11:50:00,997.34,6.61,279.99,-4.56,44.58,9.76,4.35,5.41,2.72,4.36,1239.8,2.13,4.01,303.3,17.5,417.1
2020-04-14 12:00:00,997.46,6.03,279.39,-4.95,45.05,9.38,4.22,5.15,2.64,4.23,1242.6,1.55,2.84,274.9,17.6,416.8
2020-04-14 12:10:00,997.42,6.63,279.99,-5.3,42.09,9.77,4.11,5.66,2.57,4.12,1239.95,2.1,3.89,345.2,17.76,416.9
