,OT
0,30.53100014
1,27.78700066
2,27.78700066
3,25.04400063
4,21.94799995
5,21.17399979
6,22.79199982
7,23.1439991
8,21.66699982
9,17.44599915
10,19.97900009
11,20.11899948
12,19.20499992
13,18.5720005
14,19.55599976
15,17.30500031
16,19.48600006
17,19.13400078
18,20.68199921
19,18.71199989
20,17.86800003
21,18.00900078
22,18.00900078
23,19.76799965
24,21.10400009
25,19.6970005
26,20.04899979
27,20.75200081
28,21.38500023
29,22.22999954
30,20.26000023
31,21.10400009
32,20.61199951
33,18.36100006
34,20.96299934
35,19.41600037
36,20.82299995
37,20.19000053
38,21.31500053
39,22.0189991
40,20.68199921
41,25.4659996
42,25.88800049
43,27.85700035
44,27.29500008
45,22.22999954
46,21.94799995
47,27.29500008
48,29.33499908
49,26.02799988
50,24.34000015
51,26.45000076
52,25.95800018
53,24.05900002
54,25.32500076
55,23.63699913
56,26.37999916
57,27.36499977
58,28.06800079
59,29.47500038
60,26.80200005
61,29.96800041
62,30.38999939
63,31.16399956
64,29.75699997
65,32.28900146
66,31.93799973
67,28.56100082
68,21.52599907
69,22.22999954
70,19.41600037
71,18.5720005
72,21.66699982
73,25.5359993
74,27.85700035
75,27.9279995
76,24.62100029
77,23.84799957
78,23.0739994
79,22.51099968
80,21.66699982
81,25.39500046
82,25.18400002
83,29.54599953
84,29.47500038
85,29.26399994
86,30.95299911
87,31.72599983
88,33.13299942
89,28.9829998
90,28.9829998
91,31.72599983
92,25.18400002
93,30.53100014
94,27.64599991
95,25.4659996
96,25.95800018
97,25.95800018
98,26.02799988
99,28.91300011
100,30.45999908
101,31.375
102,32.7820015
103,31.72599983
104,30.31999969
105,30.45999908
106,32.92200089
107,31.09300041
108,25.67700005
109,27.15399933
110,28.77199936
111,30.60099983
112,32.00799942
113,33.13299942
114,31.51499939
115,31.02300072
116,31.44499969
117,31.72599983
118,30.95299911
119,30.45999908
120,28.91300011
121,30.38999939
122,31.51499939
123,31.23399925
124,30.53100014
125,30.10899925
126,30.31999969
127,29.61599922
128,30.53100014
129,32.99300003
130,30.24900055
131,30.24900055
132,30.67099953
133,31.58600044
134,31.93799973
135,28.9829998
136,27.71699905
137,30.67099953
138,24.34000015
139,29.68600082
140,30.24900055
141,29.96800041
142,29.54599953
143,28.49099922
144,28.56100082
145,28.77199936
146,27.71699905
147,28.13899994
148,27.36499977
149,26.73200035
150,26.37999916
151,25.39500046
152,27.9279995
153,28.9829998
154,29.75699997
155,30.60099983
156,32.64099884
157,35.38499832
158,37.2840004
159,38.47999954
160,36.79100037
161,34.11800003
162,33.8370018
163,33.27399826
