,OT
639,39.11299896
1113,39.53499985
1114,39.88700104
1116,39.60499954
1118,39.32400131
1119,40.09799957
1120,40.09799957
1121,41.01200104
1122,40.87200165
1123,40.37900162
1124,40.52000046
1125,40.16799927
1216,39.53499985
1595,39.46500015
1596,40.02700043
1597,39.46500015
1602,39.11299896
1604,39.11299896
1689,39.39400101
1951,39.81600189
1952,40.94200134
1953,40.87200165
1954,41.01200104
1955,39.11299896
2072,39.18299866
2074,39.95700073
2075,41.01200104
2076,39.67599869
2077,41.08300018
2078,39.25400162
2080,39.04299927
2081,39.53499985
2082,39.81600189
2083,39.25400162
2084,40.16799927
2085,39.32400131
2089,39.67599869
2090,40.37900162
2091,39.25400162
2092,39.04299927
2141,39.46500015
2142,39.53499985
2143,39.74599838
2144,41.22299957
2145,40.94200134
2146,41.57500076
2147,40.73099899
2148,40.73099899
2149,40.52000046
2150,40.94200134
2151,40.16799927
2152,39.95700073
2167,39.18299866
2168,40.02700043
2169,39.60499954
2170,39.46500015
2171,40.37900162
2172,41.01200104
2173,42.20800018
2174,41.22299957
2175,40.94200134
2176,41.22299957
2177,40.45000076
2178,39.46500015
2179,40.16799927
2180,40.37900162
2181,39.67599869
2185,40.23799896
2186,40.23799896
2188,39.11299896
2190,39.11299896
2236,40.73099899
2237,40.16799927
2238,40.23799896
2239,40.45000076
2240,42.41899872
2241,41.50500107
2242,42.70100021
2243,42.56000137
2244,42.63000107
2245,42.63000107
2246,41.99700165
2247,41.50500107
2248,40.52000046
2249,41.08300018
2250,41.01200104
2251,40.45000076
2252,39.95700073
2259,39.11299896
2260,39.95700073
2261,39.67599869
2262,40.73099899
2263,41.92699814
2264,41.57500076
2265,44.03699875
2266,43.96699905
2267,43.75600052
2268,44.1780014
2269,44.1780014
2270,45.72600174
2271,44.2480011
2272,44.45899963
2273,45.37400055
2274,45.44400024
2275,45.3030014
2276,45.44400024
2277,45.02199936
2278,45.51499939
2279,45.23300171
2280,45.09199905
2281,43.40399933
2282,42.91199875
2283,41.99700165
2284,41.99700165
2285,41.22299957
2286,41.22299957
2287,40.16799927
2288,40.52000046
2289,40.16799927
2290,40.6609993
2291,40.52000046
2292,40.37900162
2293,39.60499954
2294,39.46500015
2295,39.74599838
2296,39.74599838
2297,39.95700073
2298,39.88700104
2299,40.09799957
2300,40.09799957
2301,40.02700043
2302,39.81600189
2303,39.74599838
2304,39.95700073
2305,40.37900162
2306,39.67599869
2307,39.74599838
2308,40.73099899
2309,40.30899811
2310,40.30899811
2311,40.45000076
2312,40.37900162
2313,40.16799927
2314,40.45000076
2315,39.67599869
2316,39.74599838
2317,39.74599838
2321,39.81600189
2322,39.74599838
2323,39.46500015
2324,39.11299896
2325,39.39400101
2326,39.53499985
2327,39.32400131
2328,39.60499954
2329,39.53499985
2330,40.37900162
2331,40.09799957
2332,41.15299988
2333,39.95700073
2334,40.45000076
2335,41.29399872
2336,43.26300049
2337,43.61500168
2338,43.89699936
2339,43.05199814
2340,42.8409996
2341,43.1230011
2342,42.8409996
2343,42.98199844
2344,42.13800049
2345,42.20800018
2346,42.56000137
2347,40.6609993
2348,39.88700104
2349,40.16799927
2350,39.04299927
2351,39.11299896
2352,40.87200165
2353,39.88700104
2354,40.30899811
2355,39.88700104
2356,41.64500046
2357,41.36399841
2358,40.94200134
2359,40.87200165
2360,41.64500046
2361,41.36399841
2362,42.63000107
2363,43.1230011
2364,43.89699936
2365,42.56000137
2366,42.27899933
2367,43.19300079
2368,43.61500168
2369,45.1629982
2370,44.95199966
2371,44.59999847
2372,45.65499878
2373,45.37400055
2374,45.09199905
2375,44.88100052
2376,43.68500137
2377,43.75600052
2378,41.92699814
2379,41.22299957
2380,41.36399841
2381,41.08300018
2382,41.01200104
2383,40.73099899
2384,40.59000015
2385,40.30899811
2386,40.16799927
2387,40.80099869
2388,40.6609993
2389,40.16799927
2390,39.18299866
2391,39.04299927
2392,39.25400162
2393,39.74599838
2394,40.45000076
2395,40.52000046
2396,40.30899811
2397,40.30899811
2398,40.37900162
2399,40.09799957
2400,39.53499985
2401,39.11299896
2402,39.60499954
2403,39.88700104
2404,39.04299927
2405,39.11299896
2407,39.11299896
2408,39.25400162
2416,39.11299896
2428,40.52000046
2429,40.45000076
2430,41.01200104
2431,40.23799896
2432,40.94200134
2433,40.73099899
2434,39.18299866
2436,39.11299896
2437,39.25400162
2440,39.95700073
2441,40.16799927
2442,40.87200165
2445,39.60499954
2446,39.11299896
2447,39.74599838
2448,39.32400131
2450,40.59000015
2451,39.46500015
2452,40.02700043
2453,39.60499954
2454,40.59000015
2455,41.08300018
2456,40.73099899
2457,40.87200165
2458,41.85599899
2459,41.99700165
2460,42.49000168
2461,42.98199844
2462,43.47399902
2463,44.81100082
2464,44.74100113
2465,43.82600021
2466,43.75600052
2467,43.89699936
2468,45.02199936
2469,43.47399902
2470,43.26300049
2471,43.47399902
2472,42.8409996
2473,42.13800049
2474,42.63000107
2475,42.27899933
2476,41.7859993
2477,41.7859993
2478,41.43399811
2479,41.50500107
2480,41.29399872
2481,41.22299957
2482,41.08300018
2483,41.15299988
2484,41.22299957
2485,41.57500076
2486,41.01200104
2487,41.22299957
2488,40.87200165
2489,41.22299957
2490,41.08300018
2491,40.94200134
2492,40.52000046
2493,40.73099899
2494,40.23799896
2495,40.16799927
2496,39.67599869
2497,39.25400162
2499,39.04299927
2505,39.95700073
2506,40.94200134
2507,40.87200165
2511,39.53499985
2512,40.30899811
2513,39.67599869
2514,40.16799927
2515,39.88700104
2516,39.81600189
2523,39.53499985
2524,40.09799957
2525,40.37900162
2526,41.85599899
2527,41.7159996
2528,42.20800018
2529,42.34899902
2530,42.77099991
2531,41.85599899
2532,40.02700043
2533,40.73099899
2534,39.95700073
2535,39.81600189
2536,39.46500015
2537,39.46500015
2538,40.30899811
2539,39.60499954
2543,39.11299896
2552,39.25400162
2553,39.46500015
2554,40.09799957
2555,40.30899811
2556,41.36399841
2557,42.63000107
2558,40.73099899
2559,42.20800018
2560,42.98199844
2561,45.09199905
2562,42.91199875
2563,43.68500137
2564,44.66999817
2565,43.68500137
2566,42.27899933
2567,42.27899933
2568,41.57500076
2569,41.22299957
2570,40.73099899
2571,40.37900162
2572,39.81600189
2573,40.73099899
2574,39.95700073
2575,40.59000015
2576,40.02700043
2577,40.09799957
2578,40.16799927
2579,39.95700073
2580,39.74599838
2581,39.67599869
2582,40.02700043
2583,40.37900162
2584,40.37900162
2585,40.16799927
2586,39.60499954
2587,39.74599838
2588,39.60499954
2589,39.32400131
2591,39.74599838
2592,39.32400131
2593,39.81600189
2594,40.87200165
2595,40.37900162
2596,40.30899811
2599,40.30899811
2600,40.73099899
2601,39.88700104
2602,39.74599838
2603,41.22299957
2604,41.7159996
2605,41.36399841
2606,41.01200104
2607,39.60499954
2608,39.39400101
2609,39.11299896
2613,39.39400101
2614,39.74599838
2616,39.11299896
2617,39.39400101
2618,39.18299866
2619,39.88700104
2620,41.43399811
2621,40.6609993
2622,41.64500046
2623,41.50500107
2624,41.92699814
2625,40.87200165
2626,40.02700043
2627,39.39400101
2629,39.04299927
2631,39.46500015
2633,39.04299927
2634,39.32400131
2639,39.32400131
2642,40.16799927
2643,39.60499954
2644,40.37900162
2645,39.95700073
2646,41.15299988
2647,40.37900162
2648,39.95700073
2649,40.80099869
2650,41.57500076
2651,42.27899933
2652,43.1230011
2653,43.26300049
2654,44.38899994
2655,44.95199966
2656,44.59999847
2657,45.3030014
2658,44.10800171
2659,43.33399963
2660,44.95199966
2661,44.59999847
2662,44.59999847
2663,44.03699875
2664,43.33399963
2665,43.61500168
2666,43.40399933
2667,42.63000107
2668,41.92699814
2669,41.7859993
2670,41.7159996
2671,41.29399872
2672,40.73099899
2673,40.30899811
2674,40.45000076
2675,41.08300018
2676,39.95700073
2677,39.67599869
2678,39.18299866
2679,39.81600189
2680,39.32400131
2681,39.04299927
2682,39.32400131
2683,39.04299927
2688,39.67599869
2689,39.67599869
2690,39.25400162
2693,39.53499985
2695,40.02700043
2696,40.59000015
2697,40.59000015
2698,39.53499985
2699,39.46500015
2715,40.02700043
2716,41.15299988
2717,41.29399872
2718,41.64500046
2719,42.27899933
2720,42.77099991
2721,41.36399841
2722,40.94200134
2723,41.08300018
2724,41.08300018
2725,41.22299957
2726,42.13800049
2727,41.92699814
2728,41.64500046
2729,41.08300018
2730,39.04299927
2731,40.52000046
2732,41.08300018
2733,41.43399811
2734,40.87200165
2735,39.88700104
2736,40.02700043
2737,41.15299988
2738,39.88700104
2739,41.08300018
2740,40.87200165
2741,41.43399811
2742,41.22299957
2743,43.19300079
2744,43.68500137
2745,43.33399963
2746,44.2480011
2747,44.81100082
2748,46.00699997
2749,45.1629982
2750,45.02199936
2751,44.88100052
2752,44.59999847
2753,44.81100082
2754,44.45899963
2755,44.59999847
2756,44.10800171
2757,43.33399963
2758,43.1230011
2759,41.57500076
2760,40.16799927
2765,39.46500015
2766,39.18299866
2767,39.32400131
2768,39.74599838
2769,40.02700043
2770,39.53499985
2771,39.18299866
2772,39.32400131
2773,39.32400131
2774,39.67599869
2775,39.95700073
2776,39.88700104
2777,39.46500015
2778,40.02700043
2779,40.52000046
2780,40.45000076
2781,40.52000046
2782,40.52000046
2783,40.6609993
2784,40.87200165
2785,40.73099899
2786,40.87200165
2787,41.43399811
2788,41.01200104
2789,41.08300018
2790,40.94200134
2791,41.01200104
2792,40.52000046
2793,40.52000046
2794,40.73099899
2795,40.52000046
2796,40.59000015
2797,39.81600189
2798,40.52000046
2799,40.45000076
2800,39.18299866
2801,39.46500015
2802,39.88700104
2803,40.37900162
2804,39.60499954
2805,39.95700073
2806,39.53499985
2807,39.04299927
2808,39.18299866
2809,39.74599838
2810,39.67599869
2811,40.16799927
2812,41.36399841
2813,42.06800079
2814,42.56000137
2815,43.61500168
2816,44.31900024
2817,44.1780014
2818,44.2480011
2819,44.45899963
2820,44.38899994
2821,44.45899963
2822,44.81100082
2823,44.38899994
2824,43.82600021
2825,44.38899994
2826,45.02199936
2827,44.88100052
2828,45.23300171
2829,44.95199966
2830,44.52999878
2831,44.66999817
2832,44.03699875
