,OT
0,176569
1,186355
2,192469
3,207512
4,223208
5,229454
6,223712
7,223818
8,188814
9,243078
10,235136
11,216179
12,144287
13,171193
14,234513
15,231550
16,235566
17,246969
18,245751
19,253656
20,241110
21,241683
22,228549
23,220250
24,196724
25,198913
26,192349
27,194383
28,177577
29,176111
30,170406
31,157191
32,142514
33,95728
34,81063
35,79090
36,78023
37,72110
38,71593
39,64699
40,72972
41,69593
42,71103
43,71466
44,69844
45,69003
46,70178
47,70000
48,65474
49,74328
50,72401
51,71273
52,254144
53,281045
54,287436
55,312412
56,331980
57,335258
58,348359
59,358275
60,272576
61,392274
62,388269
63,345097
64,232344
65,248992
66,314349
67,308614
68,289774
69,287586
70,295646
71,288762
72,282347
73,281202
74,271597
75,257294
76,243802
77,248805
78,234998
79,212432
80,209178
81,203802
82,194708
83,184038
84,168276
85,155386
86,133008
87,120884
88,133117
89,128740
90,124037
91,124146
92,90238
93,97135
94,95515
95,92216
96,116693
97,89644
98,95481
99,91326
100,96656
101,104207
102,118343
103,117483
104,114857
105,353449
106,355116
107,378094
108,380921
109,377692
110,380718
111,387182
112,295546
113,387004
114,374356
115,355806
116,259639
117,283617
118,369455
119,378024
120,368678
121,405254
122,406772
123,421461
124,419426
125,397883
126,383196
127,367292
128,355454
129,335940
130,334438
131,315823
132,314948
133,305833
134,302065
135,277120
136,263009
137,238494
138,194550
139,167661
140,171960
141,154899
142,170645
143,160216
144,142302
145,157068
146,149699
147,147612
148,142468
149,145121
150,150673
151,151290
152,151854
153,136817
154,150127
155,156067
156,149205
157,333164
158,338343
159,369609
160,377999
161,398840
162,376924
163,382697
164,298578
165,402264
166,385248
167,383548
168,333921
169,289638
170,343871
171,393716
172,381699
173,411882
174,411291
175,418286
176,401661
177,400827
178,399459
179,405365
180,376971
181,369804
182,362605
183,349662
184,334760
185,310641
186,305389
187,288278
188,276338
189,256267
190,231075
191,190252
192,213847
193,169353
194,167770
195,154741
196,139216
197,175259
198,172654
199,172581
200,161937
201,168024
202,167183
203,154071
204,153390
205,144289
206,159603
207,157627
208,160732
209,375076
210,384920
211,419005
212,434287
213,445334
214,454901
215,453945
216,336822
217,452089
218,436741
219,435177
220,365334
221,286087
222,369521
223,416464
224,395477
225,446119
226,428241
227,454533
228,429057
229,442099
230,433281
231,428255
232,395394
233,385735
234,386327
235,361955
236,357183
237,356055
238,347413
239,317311
240,296262
241,285031
242,259803
243,220020
244,225197
245,217982
246,216378
247,218376
248,176387
249,199040
250,206574
251,205241
252,194161
253,200154
254,207580
255,210629
256,213219
257,187384
258,211509
259,208278
260,273623
261,526227
262,529126
263,557172
264,546680
265,547104
266,566717
267,546284
268,433951
269,548159
270,516263
271,463416
272,451862
273,357646
274,430603
275,531444
276,516966
277,516683
278,559609
279,596692
280,583210
281,570334
282,589626
283,558269
284,550776
285,514205
286,504350
287,492850
288,500881
289,479187
290,459808
291,425187
292,440183
293,401601
294,367075
295,348477
296,330127
297,327366
298,321789
299,306499
300,307073
301,311423
302,301532
303,300292
304,304175
305,294930
306,298701
307,300714
308,298342
309,293535
310,327567
311,336560
312,329731
313,555999
314,578446
315,582351
316,598473
317,599343
318,612526
319,598635
320,608646
321,478386
322,597052
323,579573
324,479318
325,403876
326,425780
327,579428
328,565631
329,582932
330,611176
331,638613
332,648304
333,624583
334,659573
335,623389
336,637672
337,605503
338,608342
339,586651
340,564460
341,558837
342,577836
343,624734
344,598189
345,550300
346,544432
347,531526
348,538177
349,493761
350,521701
351,512268
352,475877
353,480680
354,502466
355,503971
356,485804
357,496666
358,506019
359,544827
360,588916
361,573972
362,571201
363,638302
364,608464
365,606458
366,855346
367,853912
368,906536
369,898860
370,899425
371,864348
372,853552
373,654101
374,814550
375,781811
376,728401
377,536961
378,583299
379,721138
380,770895
381,766177
382,785580
383,767773
384,756068
385,762208
386,806925
387,781411
388,768702
389,741293
390,747358
391,713863
392,730068
393,749563
394,719580
395,720054
396,705551
397,669414
398,670887
399,633532
400,549773
401,604004
402,580329
403,575664
404,542536
405,519414
406,547187
407,531790
408,526723
409,518121
410,525260
411,537190
412,558382
413,548573
414,531250
415,589930
416,623077
417,599366
418,746485
419,746230
420,777397
421,781234
422,766753
423,769982
424,787038
425,606527
426,772016
427,742606
428,704923
429,588406
430,592880
431,744043
432,711908
433,751850
434,798637
435,772974
436,812230
437,831600
438,801449
439,781629
440,747993
441,741807
442,728883
443,739375
444,729089
445,691707
446,662612
447,681240
448,655627
449,651983
450,620485
451,586460
452,531954
453,564322
454,539238
455,532356
456,506732
457,468565
458,526346
459,518011
460,514262
461,496632
462,521671
463,531975
464,551005
465,548228
466,514168
467,575887
468,584534
469,605162
470,778182
471,791987
472,794995
473,788840
474,784334
475,797839
476,801594
477,626731
478,782984
479,736905
480,729258
481,645424
482,581697
483,678631
484,747894
485,724623
486,784244
487,775298
488,784516
489,789193
490,767022
491,788242
492,749198
493,747570
494,755579
495,747079
496,711808
497,717202
498,732480
499,726772
500,662649
501,655492
502,636347
503,616765
