,OT
p (mbar),0.10123253695317722
T (degC),-0.4500820326057075
Tpot (K),-0.45246007345256284
Tdew (degC),-0.10666243560412723
rh (%),0.5962010926106104
VPmax (mbar),-0.4454347963086582
VPact (mbar),-0.08395254735617617
VPdef (mbar),-0.5528112780950883
sh (g/kg),-0.0852986841875868
H2OC (mmol/mol),-0.08558097868190213
rho (g/m**3),0.4259691716680516
wv (m/s),-0.3981919046529403
max. wv (m/s),-0.4453671428832697
wd (deg),-0.07253879804254276
Tlog (degC),-0.4405020237491183
dayofweek,-0.028260383372978575
quarter,0.11621158877285515
month,0.13809804202638407
year,0.0020543816734751685
dayofyear,0.13266821710984916
dayofmonth,-0.06383214269639341
weekofyear,0.13319141489922262
trend,0.9799822620186229
seasonal,0.07930011460863795
residual,0.43045827515251156
