trues,TDIformer,iTransformer,TimesNet,Informer
2.047713,2.2428412,2.2361596,2.3843524,1.2180053
2.057768,2.2577817,2.2292545,2.2945712,1.2170746
2.057768,2.273687,2.227151,2.386069,1.2165974
1.9393007,2.285123,2.2271295,2.411508,1.2155303
1.9061545,2.3128011,2.222224,2.3312376,1.2137666
1.9563041,2.2988687,2.212604,2.407763,1.2111082
2.0799775,2.272275,2.2122257,2.336457,1.20967
2.1624439,2.1474864,2.214489,2.277141,1.2081404
2.1486943,2.1480358,2.213284,2.1431122,1.2083193
2.1707041,2.2192497,2.2184732,2.3006938,1.2073021
2.196986,2.2469406,2.2235363,2.3188295,1.2068361
2.1486943,2.2986898,2.2279928,2.3766074,1.2066561
2.2521524,2.2936554,2.2215912,2.4210346,1.2054434
2.259888,2.300563,2.227809,2.4526076,1.2060933
2.259888,2.3061402,2.2343373,2.429349,1.2063103
2.2824752,2.3254232,2.2354057,2.2798805,1.2048948
2.2297227,2.3253024,2.230925,2.3325803,1.204658
2.2213364,2.3120897,2.2281501,2.388713,1.2033803
2.1776104,2.2885876,2.2296717,2.4232428,1.2028157
2.1879804,2.3033164,2.2292595,2.445915,1.2024636
2.1500692,2.3185484,2.232946,2.4352238,1.2026446
2.1213524,2.2826703,2.224691,2.4336016,1.2008111
2.1309037,2.2563162,2.2216969,2.3842316,1.1999351
2.176225,2.1698775,2.21608,2.4225156,1.1974144
2.136372,2.0640817,2.2163548,2.423361,1.1972544
2.140476,2.143605,2.2165642,2.4279833,1.1971663
2.140476,2.0448694,2.2063856,2.4317188,1.1957201
2.1555586,2.0233073,2.2008207,2.4047763,1.1963452
2.1755323,2.0115051,2.2042892,2.3842173,1.1961149
2.1535013,2.0233946,2.192579,2.30112,1.1951123
2.2074084,1.8971019,2.1803179,2.3612053,1.1944803
2.1859024,1.9824917,2.2049742,2.38587,1.1951419
2.1596835,2.0714302,2.212061,2.3861115,1.1955985
2.1036668,2.1054518,2.2340245,2.4362152,1.1954478
2.0901165,2.193306,2.2280626,2.4434447,1.1954066
2.04236,2.2041368,2.256425,2.4525683,1.194295
2.0928245,2.1097531,2.244654,2.4352462,1.1936263
2.0995944,2.1455028,2.2589974,2.4305797,1.1921512
2.0350025,2.099521,2.2689114,2.384191,1.192661
1.9918327,2.1233854,2.2221813,2.3584979,1.1919608
2.0024126,2.0865397,2.1757772,2.3956385,1.1915516
2.0894341,2.084557,2.1139894,2.4234889,1.1917052
2.186595,2.0820796,2.1339555,2.4191859,1.1914519
2.159001,2.1115475,2.1338716,2.423745,1.1933631
2.2563717,2.1118226,2.1722765,2.4402506,1.1944346
2.264821,2.1132982,2.2041364,2.4452164,1.1951337
2.3682477,2.2664568,2.2437744,2.454272,1.1966634
