trues,TDIformer,iTransformer,TimesNet,Informer
-0.9370915,-1.4909502,-1.0044262,-0.90257597,-0.06815101
-0.9140192,-1.3457872,-0.9194475,-0.7732447,-0.10795223
-0.94285965,-1.150546,-0.8015646,-0.59294254,-0.0063235853
-0.94285965,-1.1805713,-0.77814126,-0.7509995,-0.15634467
-0.9717,-1.1513385,-0.7485456,-0.5310546,-0.054237634
-0.96593195,-1.105519,-0.7019323,-0.58076644,-0.057545
-0.9197873,-1.0130279,-0.6494487,-0.6073061,-0.047304347
-0.9197873,-0.96367234,-0.6590788,-0.5064198,-2.2443011e-05
-0.8736427,-0.823297,-0.5826915,-0.29150122,0.06060925
-0.9197873,-0.8707248,-0.57376814,0.0031002313,0.10539301
-0.86787456,-0.83608687,-0.57331276,-0.110956885,0.15902668
-0.8332661,-0.83807707,-0.57605433,0.08452599,0.09862491
-0.79288954,-0.8928434,-0.6288346,0.35151732,0.15567634
-0.7352087,-0.8602872,-0.5298017,0.4897726,0.20731567
-0.060343195,-0.8294125,-0.5334828,0.40993214,0.2652522
0.04925035,-0.8769859,-0.3712355,0.7735523,0.32181045
0.13577157,-0.7327034,-0.21370111,0.88621616,0.38146758
0.13577157,-0.7184623,-0.06936586,1.0862433,0.43855682
0.15884389,-0.48882696,0.020759046,0.9980727,0.50220925
0.20498854,-0.38594308,0.07334089,1.0369176,0.5807275
0.13577157,-0.38458806,0.1969088,1.1182852,0.77449214
0.22806087,-0.24216369,0.25647384,1.0203378,0.8519544
0.78756475,-0.1972039,0.31955805,-0.013244092,0.9066254
0.76449245,-0.11726721,0.37970424,1.062486,0.83329296
0.72411585,0.03520663,0.40554172,0.23425943,1.0915399
0.61452234,0.07114132,0.42601627,0.08543253,1.0509654
1.2086347,0.1205959,0.46392244,0.12018937,1.2547723
1.2201709,0.1830562,0.52889717,0.3118893,1.3425639
1.3470687,0.27283335,0.5990217,0.39219368,1.3161026
1.0990411,0.344765,0.6609345,0.46046895,1.5040648
0.6491308,0.43416756,0.7086197,0.96405435,1.5795443
0.60298616,0.48248258,0.74678653,0.9678568,1.660879
0.9606072,0.45183018,0.7753655,0.91754687,1.7184536
0.9202306,0.6074147,0.83071756,0.92984724,1.7776122
1.087505,0.7145708,0.8976592,0.9211228,1.841309
1.6412408,0.80685484,0.9643948,0.8502145,1.9450783
1.5604876,0.8986278,1.0378033,0.95478976,1.9963601
1.3586048,1.0446057,1.1510985,1.0880194,1.9880569
1.6816174,1.2159709,1.2444515,1.1283319,2.0269551
1.9988618,1.3673561,1.3700944,1.2872415,1.9983199
2.0450065,1.5011129,1.54464,1.4301294,2.0755484
2.1719043,1.7004933,1.6961217,1.5966654,2.0651941
2.2468894,2.014246,1.8340166,1.6032896,2.0905538
2.494917,2.006226,1.9653639,1.7382487,2.1328325
2.3334105,2.1250963,2.114348,1.8177472,2.1560242
2.2757297,2.2299476,2.2439888,2.0257907,2.3308265
1.9411811,2.3248272,2.3839233,2.069901,2.355636
2.5468295,2.425993,2.49318,2.1757123,2.4846332
2.6910315,2.4282236,2.5775433,2.425005,2.5733957
3.0313485,2.652189,2.628832,2.5182326,2.447268
3.089029,2.840091,2.7572076,2.712606,2.3528423
3.1236377,2.8713624,2.834039,2.8603287,2.368061
3.221695,2.9071403,2.898339,2.803549,2.463732
3.2851439,3.01393,2.9192247,2.7892058,2.472874
3.4812586,3.1307852,2.988946,2.7169883,2.6818736
3.4062736,3.3021398,3.0455067,3.0203633,2.6972106
3.3139844,3.3726802,3.0724232,3.132318,2.7011616
3.498563,3.2255976,3.0013838,3.2674115,2.7062492
2.9678996,3.422063,3.0139678,3.3355145,2.496598
2.800625,3.326505,2.9330974,3.3549242,2.494521
2.1661363,3.1545913,2.8144796,3.477498,2.199408
2.3737872,2.9471667,2.7319152,3.5703142,2.586194
3.2447674,3.261651,2.6783612,3.6819458,2.4413583
3.5793161,2.9447165,2.6432147,3.5524304,2.424037
3.700446,2.9321742,2.690149,3.6846662,1.7995671
3.7465904,2.9819236,2.6339064,3.7910244,2.3142645
3.5331714,2.990925,2.7406068,3.7980533,2.0380197
3.1294057,3.0816534,2.6571996,3.7262578,1.9754435
2.7660167,3.2003202,2.5333772,3.8570924,1.8214302
3.2563035,2.9102802,2.367979,3.756289,2.17108
3.360129,2.8190854,2.3876026,3.9814348,2.0886536
3.3658972,2.866278,2.4251697,3.7066064,2.0181448
3.1294057,2.7972407,2.283163,3.3523035,1.8985554
2.9678996,2.4986773,2.3018203,3.1924233,1.8187207
3.4639544,2.2736304,2.2063298,3.1740658,1.7015868
3.4235778,2.3236022,2.1238794,3.0763955,1.5954415
3.0659568,2.3178334,2.1121655,3.4054503,1.4579021
3.2678397,2.3243563,2.0703902,3.2607255,1.3410002
3.3543608,2.115257,1.987474,3.4808855,1.2076814
2.8525379,2.1516738,1.939069,2.8649774,1.0965508
2.6045103,2.1337714,1.8669274,2.5771763,0.96064925
1.5316472,2.099289,1.8073822,2.629714,0.8359179
0.9548391,1.9988587,1.6111848,2.0889778,0.6526871
0.9029264,2.198959,1.4648118,1.5689918,0.50033104
1.018288,1.6536503,1.2091017,1.4175375,0.35922283
1.0586646,1.7880621,1.1687151,1.1134918,0.24156156
0.82217324,1.4564421,1.0004367,0.5636662,0.09966385
0.7471882,1.4090497,0.8359692,0.49355632,0.0010374468
0.6548989,1.1575344,0.73417914,0.25007522,-0.108135134
0.44147986,1.085094,0.626714,0.1887058,-0.1972014
0.21075663,1.0052443,0.5114891,0.00511992,-0.30331513
