,OT
279,39.60499954
280,40.09799957
281,40.52000046
304,39.53499985
399,40.02700043
401,39.11299896
488,40.94200134
518,39.18299866
519,39.67599869
520,39.04299927
521,40.16799927
523,39.04299927
536,41.22299957
537,40.73099899
538,39.95700073
542,40.02700043
543,41.01200104
544,41.22299957
545,40.37900162
547,39.11299896
559,40.73099899
560,42.41899872
561,42.63000107
562,40.52000046
563,39.95700073
565,39.95700073
566,41.57500076
567,44.1780014
568,44.45899963
569,45.44400024
570,45.09199905
571,41.99700165
572,40.52000046
573,40.37900162
574,39.74599838
575,40.09799957
576,39.95700073
577,40.73099899
578,40.37900162
579,39.74599838
581,39.11299896
582,39.60499954
583,41.15299988
584,43.26300049
585,42.8409996
586,42.13800049
587,39.88700104
588,40.87200165
589,41.64500046
590,41.64500046
591,43.89699936
592,43.61500168
593,45.65499878
594,43.68500137
595,41.36399841
596,40.59000015
597,40.6609993
598,39.25400162
599,40.30899811
600,39.53499985
601,39.04299927
602,39.25400162
604,39.11299896
607,40.52000046
608,40.94200134
609,39.11299896
610,39.95700073
612,39.32400131
613,40.02700043
614,40.73099899
615,42.49000168
616,44.74100113
617,45.02199936
618,42.8409996
619,41.7859993
620,41.29399872
621,41.22299957
622,40.87200165
623,40.52000046
624,39.67599869
628,40.30899811
629,39.81600189
631,40.09799957
632,42.20800018
633,40.02700043
634,39.46500015
638,39.25400162
639,41.36399841
640,42.98199844
641,44.66999817
642,41.57500076
643,39.81600189
644,40.02700043
645,39.74599838
646,40.37900162
647,39.60499954
648,39.32400131
649,40.30899811
650,40.73099899
651,41.7159996
652,39.39400101
654,39.11299896
655,41.43399811
656,41.92699814
661,40.37900162
662,39.95700073
663,43.1230011
664,44.59999847
665,44.95199966
666,43.33399963
667,41.92699814
668,40.73099899
669,39.95700073
670,39.32400131
672,39.67599869
674,40.59000015
679,41.15299988
680,42.77099991
681,41.08300018
682,41.64500046
683,41.08300018
684,40.02700043
685,40.87200165
686,43.68500137
687,46.00699997
688,44.59999847
689,44.10800171
690,40.16799927
692,39.74599838
693,39.32400131
694,39.88700104
695,40.45000076
696,40.87200165
697,41.01200104
698,40.52000046
699,40.59000015
700,39.18299866
701,39.60499954
702,39.18299866
703,41.36399841
704,44.31900024
705,44.38899994
706,43.82600021
707,45.23300171
708,44.03699875
709,43.68500137
710,44.52999878
711,44.88100052
712,44.38899994
713,43.1230011
714,40.80099869
717,39.32400131
760,40.02700043
761,39.11299896
781,39.53499985
875,39.32400131
877,39.53499985
878,40.23799896
1192,39.04299927
