,OT
0,30.53100014
1,30.45999908
2,30.03800011
3,27.01300049
4,27.78700066
5,27.71699905
6,27.64599991
7,27.08399963
8,27.78700066
9,27.50600052
10,27.85700035
11,27.01300049
12,25.04400063
13,24.5510006
14,23.56599998
15,21.52599907
16,21.94799995
17,21.45599937
18,22.79199982
19,21.0340004
20,21.17399979
21,20.82299995
22,21.17399979
23,21.17399979
24,22.79199982
25,23.84799957
26,24.34000015
27,23.1439991
28,23.1439991
29,23.77700043
30,23.84799957
31,23.98800087
32,21.66699982
33,22.0890007
34,22.37000084
35,16.39100075
36,17.44599915
37,17.72699928
38,18.50099945
39,19.27499962
40,19.97900009
41,18.50099945
42,18.5720005
43,19.41600037
44,20.11899948
45,19.76799965
46,19.76799965
47,20.32999992
48,19.20499992
49,17.72699928
50,18.6420002
51,18.50099945
52,18.5720005
53,19.6970005
54,19.55599976
55,19.83799934
56,19.55599976
57,19.41600037
58,19.13400078
59,17.02400017
60,17.30500031
61,18.78300095
62,18.85300064
63,19.20499992
64,19.48600006
65,19.62700081
66,18.43099976
67,19.76799965
68,19.13400078
69,20.75200081
70,19.76799965
71,20.68199921
72,20.68199921
73,19.83799934
74,19.20499992
75,19.41600037
76,18.71199989
77,17.86800003
78,18.21999931
79,18.50099945
80,17.86800003
81,18.21999931
82,17.86800003
83,17.86800003
84,18.00900078
85,18.36100006
86,18.6420002
87,18.00900078
88,18.00900078
89,17.58699989
90,18.29000092
91,19.41600037
92,19.76799965
93,20.75200081
94,21.31500053
95,21.87800026
96,21.10400009
97,21.10400009
98,21.38500023
99,21.17399979
100,19.6970005
101,20.54100037
102,19.76799965
103,19.83799934
104,20.04899979
105,21.0340004
106,19.97900009
107,20.32999992
108,20.75200081
109,20.47100067
110,21.17399979
111,20.82299995
112,21.38500023
113,21.0340004
114,20.89299965
115,20.75200081
116,22.22999954
117,21.17399979
118,20.40099907
119,20.26000023
120,20.26000023
121,19.13400078
122,20.32999992
123,20.89299965
124,21.10400009
125,19.27499962
126,19.06399918
127,20.26000023
128,20.61199951
129,18.85300064
130,19.6970005
131,18.21999931
132,18.36100006
133,19.27499962
134,21.31500053
135,21.52599907
136,20.96299934
137,19.06399918
138,18.21999931
139,19.27499962
140,19.41600037
141,19.97900009
142,21.17399979
143,21.0340004
144,20.82299995
145,20.47100067
146,20.96299934
147,21.52599907
148,20.19000053
149,18.36100006
150,18.6420002
151,20.47100067
152,21.31500053
153,21.66699982
154,20.54100037
155,21.80800056
156,22.0189991
157,21.52599907
158,20.47100067
159,20.11899948
160,20.68199921
161,22.22999954
162,23.70700073
163,24.97299957
164,25.4659996
165,25.81699944
166,26.02799988
167,26.02799988
168,25.88800049
169,26.30999947
170,27.64599991
171,27.29500008
172,27.85700035
173,27.71699905
174,27.64599991
175,27.71699905
176,27.29500008
177,26.73200035
178,24.05900002
179,22.93300056
180,22.22999954
181,22.0890007
182,21.73699951
183,21.17399979
184,21.94799995
185,23.63699913
186,25.25499916
187,26.66200066
188,27.29500008
189,28.13899994
190,28.35000038
191,29.0529995
192,29.33499908
193,28.77199936
194,27.50600052
195,26.16900063
196,26.02799988
197,25.95800018
198,26.09900093
199,25.95800018
200,24.34000015
201,22.72200012
202,22.93300056
203,24.83200073
204,26.45000076
205,27.01300049
206,27.36499977
207,26.45000076
208,25.95800018
209,25.18400002
210,24.62100029
211,24.12899971
212,24.05900002
213,24.40999985
214,24.5510006
215,25.32500076
216,25.32500076
217,25.39500046
218,25.39500046
219,24.40999985
220,23.63699913
221,22.72200012
222,24.62100029
223,26.45000076
224,26.37999916
225,26.30999947
226,27.99799919
227,28.91300011
228,27.36499977
229,26.02799988
230,25.25499916
231,27.15399933
232,28.06800079
233,29.47500038
234,30.81200027
235,30.17900085
236,29.47500038
237,27.85700035
238,25.95800018
239,25.6060009
240,26.80200005
241,27.15399933
242,28.77199936
243,29.40500069
244,29.96800041
245,30.03800011
246,29.96800041
247,29.96800041
248,30.38999939
249,30.81200027
250,31.375
251,31.375
252,31.16399956
253,30.31999969
254,29.47500038
255,29.47500038
256,29.75699997
257,30.03800011
258,30.03800011
259,31.16399956
260,32.28900146
261,32.07799911
262,31.58600044
263,32.99300003
264,31.93799973
265,32.5
266,32.36000061
267,31.44499969
268,28.56100082
269,24.90299988
270,23.84799957
271,23.70700073
272,21.52599907
273,21.94799995
274,20.32999992
275,20.61199951
276,22.22999954
277,21.38500023
278,20.40099907
279,19.97900009
280,19.41600037
281,18.43099976
282,18.21999931
283,18.43099976
284,18.5720005
285,18.00900078
286,18.71199989
287,19.34499931
288,21.66699982
289,24.4810009
290,25.88800049
291,25.95800018
292,25.5359993
293,27.71699905
294,29.12400055
295,28.70199966
296,27.85700035
297,28.06800079
298,28.91300011
299,28.9829998
300,27.9279995
301,28.06800079
302,27.64599991
303,24.97299957
304,24.62100029
305,24.83200073
306,24.69199944
307,24.34000015
308,23.84799957
309,23.4260006
310,21.87800026
311,23.4260006
312,23.0739994
313,21.80800056
314,23.0739994
315,21.94799995
316,22.51099968
317,21.38500023
318,21.52599907
319,21.17399979
320,21.66699982
321,22.51099968
322,23.56599998
323,24.4810009
324,25.39500046
325,23.84799957
326,25.32500076
327,24.5510006
328,25.18400002
329,27.64599991
330,29.0529995
331,28.35000038
332,29.54599953
333,30.38999939
334,31.58600044
335,30.60099983
336,29.47500038
337,27.85700035
338,29.12400055
339,29.61599922
340,29.26399994
341,28.77199936
342,30.03800011
343,30.31999969
344,30.95299911
345,30.74200058
346,31.02300072
347,31.16399956
348,31.72599983
349,31.375
350,31.79700089
351,32.57099915
352,33.13299942
353,33.20399857
354,32.7820015
355,31.02300072
356,28.9829998
357,28.77199936
358,28.49099922
359,28.27899933
360,28.9829998
361,29.61599922
362,30.03800011
363,31.58600044
364,31.72599983
365,31.44499969
366,30.60099983
367,29.89699936
368,25.18400002
369,26.45000076
370,27.9279995
371,29.47500038
372,30.53100014
373,29.54599953
374,30.17900085
375,29.26399994
376,27.64599991
377,23.84799957
378,22.22999954
379,23.98800087
380,25.4659996
381,26.37999916
382,25.88800049
383,26.30999947
384,25.95800018
385,26.30999947
386,27.36499977
387,27.71699905
388,25.95800018
389,25.04400063
390,24.97299957
391,25.74699974
392,26.02799988
393,26.66200066
394,26.73200035
395,27.9279995
396,28.91300011
397,29.19400024
398,30.24900055
399,30.67099953
400,30.45999908
401,30.31999969
402,30.53100014
403,31.72599983
404,31.375
405,31.65600014
406,31.58600044
407,32.21900177
408,32.7820015
409,32.21900177
410,32.71099854
411,32.71099854
412,31.72599983
413,31.51499939
414,30.45999908
415,31.30400085
416,30.31999969
417,29.33499908
418,29.68600082
419,29.68600082
420,30.45999908
421,32.64099884
422,33.13299942
423,33.41500092
424,32.92200089
425,32.7820015
426,32.71099854
427,32.5
428,31.09300041
429,29.89699936
430,28.27899933
431,26.09900093
432,25.67700005
433,26.16900063
434,25.6060009
435,26.66200066
436,27.15399933
437,27.29500008
438,24.97299957
439,27.29500008
440,28.77199936
441,28.42000008
442,29.47500038
443,31.09300041
444,30.60099983
445,31.16399956
446,31.30400085
447,31.72599983
