,OT
14005,483.9
14440,484.2
15447,486.6
15448,495.5
15449,499.6
15450,499.7
15451,498.6
15452,492.3
15594,488.5
15595,484.1
18615,485.8
18616,484.6
20050,485.7
20051,489.7
20052,487.3
20053,485.9
20054,486.0
20055,484.0
22058,485.7
22059,486.2
22060,488.5
22061,485.1
22198,485.2
22199,485.7
23054,484.8
23057,485.1
23063,486.5
23064,488.6
23065,489.4
23066,485.7
23074,484.5
23075,483.8
23498,485.0
23633,485.4
23634,490.2
23639,499.6
23640,509.4
23641,510.2
23642,497.0
23643,494.8
23644,488.0
23645,492.0
23646,496.8
23647,496.7
23648,499.5
23649,496.4
23650,487.8
23933,485.1
24342,502.8
24343,508.2
24344,518.8
24345,522.3
24346,521.2
24347,523.1
24348,524.2
24349,522.2
24350,519.4
24351,508.1
24352,514.3
24353,510.3
24354,515.5
24355,504.6
24927,492.9
24928,498.0
24929,497.0
24930,496.9
24931,492.8
24932,497.0
24933,493.3
24934,493.4
24935,494.5
24936,494.8
24937,495.6
24938,504.8
24939,503.9
24940,498.2
24941,492.5
24942,489.1
24946,485.9
24947,488.8
24948,486.8
25082,488.3
25083,485.9
25084,491.8
25085,494.3
25086,490.6
25087,493.1
25088,485.9
25223,491.6
25224,496.6
25225,498.9
25226,505.5
25227,504.4
25228,505.9
25229,508.6
25230,510.0
25231,509.5
25232,509.3
25233,505.7
25234,499.4
25235,492.9
25508,493.1
25509,494.7
25510,490.4
25511,495.6
25512,499.7
25513,496.9
25514,495.5
25515,493.9
25516,490.1
25517,489.0
25518,485.3
25519,488.2
25647,484.2
25648,498.7
25649,497.3
25650,502.5
25651,495.6
25652,484.9
25653,500.4
25654,502.0
25655,501.9
25656,495.4
25657,488.9
25658,493.3
25659,497.0
25660,505.9
25661,500.0
25662,499.2
25663,500.4
25664,493.5
25665,487.5
25666,486.2
25784,488.2
25786,485.9
25787,484.5
27534,487.7
31563,485.7
31564,486.7
31709,487.3
31710,485.6
32139,488.3
32140,489.3
32142,492.8
32143,484.4
32147,487.6
