,OT
0,428.1
1,428.0
2,427.6
3,430.0
4,432.2
5,430.5
6,431.3
7,433.9
8,430.9
9,431.1
10,434.6
11,435.6
12,433.4
13,433.7
14,433.2
15,433.9
16,434.3
17,434.3
18,433.9
19,428.9
20,429.6
21,430.1
22,432.6
23,430.4
24,430.7
25,430.7
26,434.6
27,433.3
28,437.6
29,435.0
30,433.4
31,433.5
32,439.9
33,440.9
34,438.9
35,438.9
36,434.1
37,441.1
38,440.4
39,438.9
40,435.5
41,433.3
42,433.1
43,435.2
44,437.6
45,439.0
46,438.5
47,436.4
48,436.3
49,440.8
50,435.6
51,433.7
52,433.1
53,435.2
54,439.4
55,441.0
56,442.4
57,441.8
58,441.6
59,442.5
60,442.0
61,440.9
62,440.7
63,441.8
64,441.9
65,439.4
66,440.5
67,438.8
68,438.7
69,438.5
70,441.1
71,442.4
72,441.5
73,438.3
74,436.4
75,434.7
76,434.9
77,434.1
78,434.7
79,433.2
80,433.0
81,432.4
82,431.8
83,431.2
84,430.7
85,429.2
86,428.9
87,428.6
88,428.9
89,429.3
90,427.9
91,427.3
92,426.7
93,426.2
94,425.6
95,425.2
96,425.4
97,424.9
98,424.5
99,424.7
100,425.0
101,429.9
102,437.9
103,428.9
104,427.3
105,430.4
106,430.7
107,430.2
108,430.1
109,430.8
110,431.9
111,433.9
112,437.3
113,445.3
114,439.5
115,435.8
116,434.9
117,432.3
118,433.4
119,435.1
120,437.9
121,438.7
122,438.5
123,439.1
124,439.7
125,441.0
126,440.8
127,441.5
128,444.5
129,441.6
130,439.6
131,442.8
132,440.6
133,441.6
134,442.0
135,441.1
136,441.2
137,441.4
138,439.0
139,432.4
140,432.1
141,432.2
142,435.2
143,438.5
144,439.1
145,438.2
146,436.7
147,437.1
148,436.0
149,437.1
150,442.8
151,444.4
152,444.6
153,441.4
154,443.6
155,440.6
156,440.7
157,440.6
158,435.7
159,444.9
160,447.5
161,447.2
162,448.0
163,441.4
164,443.4
165,448.9
166,446.0
167,443.6
168,441.5
169,444.4
170,452.1
171,452.8
172,450.1
173,440.6
174,439.1
175,440.7
176,446.1
177,449.2
178,453.2
179,451.2
180,452.1
181,452.0
182,451.7
183,452.1
184,451.8
185,447.6
186,446.1
187,445.6
188,443.7
189,446.4
190,452.5
191,451.0
192,451.7
193,453.2
194,453.5
195,445.2
196,443.5
197,447.1
